num_layers,layer_1,layer_2,layer_3,layer_4,best_train_performance,best_test_performance,train_fct
4,6,17,12,11,0.0006945281,0.0004452944,trainlm
2,12,15,0,0,0.0005877551000000001,0.00046772690000000005,trainscg
3,16,12,3,0,0.0001602451,0.000515455,trainrp
1,17,0,0,0,0.0006650916,0.0005179709,traincgp
3,15,5,4,0,0.000637586,0.0005392604,trainlm
1,3,0,0,0,0.0005735233,0.000540654,trainscg
2,6,4,0,0,0.0003708859,0.0005479253,trainlm
1,19,0,0,0,0.0004026609,0.0005495477,trainrp
3,15,5,4,0,0.0006608279,0.0005511641000000001,trainscg
3,16,12,3,0,0.0005028321,0.0005655416,trainlm
